time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-13T23:04:00.733Z,62.5794,-151.3556,94.1,1.3,ml,,,,0.63,ak,ak20253618,2018-09-13T23:09:23.156Z,"70km WNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-13T22:41:44.833Z,69.6047,-144.9145,0,2.4,ml,,,,0.91,ak,ak20253611,2018-09-13T22:53:57.044Z,"76km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-13T22:39:39.978Z,61.9837,-147.6288,10.1,3.4,ml,,,,0.71,ak,ak20253596,2018-09-13T23:02:51.040Z,"70km ENE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T22:37:32.090Z,37.5515,-118.9053333,3.76,0.51,md,9,175,0.06102,0.02,nc,nc73084125,2018-09-14T00:00:48.946Z,"12km SE of Mammoth Lakes, CA",earthquake,0.6,1.58,0.137,7,reviewed,nc,nc
2018-09-13T22:35:05.123Z,68.8658,-148.1617,4.5,1.9,ml,,,,0.82,ak,ak20253592,2018-09-13T22:39:10.783Z,"135km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T22:30:16.130Z,35.018,-118.4738333,7.22,1.84,ml,39,39,0.112,0.14,ci,ci38059367,2018-09-13T23:40:53.890Z,"13km S of Tehachapi, CA",earthquake,0.14,0.96,0.194,59,reviewed,ci,ci
2018-09-13T22:26:43.465Z,69.5649,-144.0277,0.6,2.6,ml,,,,0.79,ak,ak20253587,2018-09-14T00:30:31.040Z,"65km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-13T22:26:24.390Z,33.5006667,-116.7955,3.91,1.01,ml,41,33,0.01236,0.14,ci,ci38059359,2018-09-13T23:53:00.240Z,"9km NE of Aguanga, CA",earthquake,0.13,0.28,0.127,26,reviewed,ci,ci
2018-09-13T22:16:22.550Z,38.7868333,-122.7658333,2.88,0.83,md,27,98,0.01609,0.06,nc,nc73084100,2018-09-13T23:46:16.792Z,"1km NW of The Geysers, CA",earthquake,0.19,0.39,0.031,4,reviewed,nc,nc
2018-09-13T21:55:21.250Z,46.7846667,-117.1016667,-0.28,2.19,md,8,147,0.7684,0.53,uw,uw61428041,2018-09-13T23:18:54.250Z,"8km NE of Pullman, Washington",explosion,1.65,31.61,0.115,7,reviewed,uw,uw
2018-09-13T21:54:22.630Z,42.6679,141.9576,29.96,4.5,mwr,,68,1.103,0.85,us,us2000he9l,2018-09-14T01:51:43.327Z,"29km E of Tomakomai, Japan",earthquake,6.4,4.9,0.086,13,reviewed,us,us
2018-09-13T21:53:06.230Z,33.4988333,-116.794,2.76,0.56,ml,20,57,0.01451,0.1,ci,ci38059319,2018-09-13T22:10:41.826Z,"9km NE of Aguanga, CA",earthquake,0.16,0.19,0.093,14,reviewed,ci,ci
2018-09-13T21:52:02.333Z,69.2336,-147.3676,0.1,1.4,ml,,,,0.61,ak,ak20253574,2018-09-13T22:03:26.947Z,"119km SSE of Prudhoe Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T21:51:50.180Z,33.4956667,-116.7961667,3.64,1.09,ml,43,31,0.01702,0.17,ci,ci38059303,2018-09-14T00:36:03.830Z,"9km NE of Aguanga, CA",earthquake,0.17,0.41,0.113,23,reviewed,ci,ci
2018-09-13T21:37:41.910Z,33.4951667,-116.7966667,2.68,1.22,ml,44,34,0.01743,0.17,ci,ci38059279,2018-09-13T21:50:47.020Z,"9km NE of Aguanga, CA",earthquake,0.17,0.33,0.146,25,reviewed,ci,ci
2018-09-13T21:36:37.990Z,40.467,-121.5168333,2.32,-0.01,md,6,122,0.002939,0.03,nc,nc73084070,2018-09-13T22:29:34.413Z,"13km NNE of Mineral, CA",earthquake,0.69,0.31,0.131,5,reviewed,nc,nc
2018-09-13T21:35:49.230Z,36.9849,-97.5141,5.65,2.5,ml,,48,0.04,0.3,us,us2000he85,2018-09-13T22:54:27.870Z,"9km ESE of Caldwell, Kansas",earthquake,1.4,6.4,0.056,42,reviewed,us,us
2018-09-13T21:35:18.350Z,34.0175,-117.1926667,15.97,0.86,ml,22,122,0.1184,0.14,ci,ci38059271,2018-09-13T22:03:51.486Z,"4km SSW of Redlands, CA",earthquake,0.3,0.51,0.177,7,reviewed,ci,ci
2018-09-13T21:34:50.181Z,38.7748,-117.0701,8.2,1.6,ml,13,220.02,0.105,0.6472,nn,nn00656397,2018-09-13T21:42:08.625Z,"74km E of Gabbs, Nevada",explosion,,14,0.24,8,reviewed,nn,nn
2018-09-13T21:31:09.700Z,19.4138336,-155.4974976,6.22,2.14,ml,32,63,0.04466,0.23,hv,hv70592617,2018-09-13T21:37:00.850Z,"23km N of Pahala, Hawaii",earthquake,0.45,1.18,0.35,3,automatic,hv,hv
2018-09-13T21:31:09.560Z,36.4858,71.2288,229.61,4.6,mb,,38,0.826,0.93,us,us2000he7w,2018-09-13T21:46:22.040Z,"34km SW of Ashkasham, Afghanistan",earthquake,6.5,4.7,0.036,230,reviewed,us,us
2018-09-13T21:30:24.364Z,68.8325,-146.6641,0,2.5,ml,,,,0.91,ak,ak20253524,2018-09-14T00:58:06.040Z,"91km NNW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T21:29:50.800Z,36.0043333,-117.5676667,3.38,1.53,ml,18,108,0.08326,0.14,ci,ci38059263,2018-09-13T22:06:15.040Z,"30km NNW of Searles Valley, CA",earthquake,0.29,0.77,0.127,22,reviewed,ci,ci
2018-09-13T21:29:04.521Z,68.8661,-146.6376,0,1.9,ml,,,,0.52,ak,ak20253521,2018-09-13T21:40:46.535Z,"93km NNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T21:26:22.230Z,33.9888333,-116.559,7.89,0.95,ml,18,116,0.08897,0.2,ci,ci38059255,2018-09-13T22:05:10.857Z,"6km WNW of Desert Hot Springs, CA",earthquake,0.32,1.15,0.153,23,reviewed,ci,ci
2018-09-13T21:24:18.450Z,36.4788333,-121.0111667,7.76,1.38,md,15,131,0.05441,0.04,nc,nc73084065,2018-09-14T01:46:03.990Z,"13km ESE of Pinnacles, CA",earthquake,0.32,0.76,0.284,15,reviewed,nc,nc
2018-09-13T21:15:54.520Z,34.01,-116.4405,7.69,1.16,ml,33,89,0.07255,0.14,ci,ci38059231,2018-09-13T22:08:39.002Z,"8km NE of Desert Hot Springs, CA",earthquake,0.21,0.45,0.131,24,reviewed,ci,ci
2018-09-13T21:14:52.290Z,36.9844,-97.5179,3.96,2.5,ml,,46,0.042,0.38,us,us2000he6r,2018-09-13T22:42:17.740Z,"9km SE of Caldwell, Kansas",earthquake,1.2,1.9,0.052,48,reviewed,us,us
2018-09-13T21:13:39.367Z,68.7921,-146.6809,0,2,ml,,,,0.69,ak,ak20253517,2018-09-13T21:20:27.901Z,"87km NNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T21:09:57.414Z,68.8642,-147.7494,3.8,1.6,ml,,,,0.69,ak,ak20253514,2018-09-13T21:15:25.359Z,"122km NW of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-13T21:03:36.590Z,38.789,-122.763,0.85,0.97,md,23,88,0.01838,0.03,nc,nc73084060,2018-09-13T23:41:45.468Z,"1km NNW of The Geysers, CA",earthquake,0.18,0.39,0.154,5,reviewed,nc,nc
2018-09-13T21:02:10.577Z,59.6212,-152.4062,83.8,1.1,ml,,,,0.21,ak,ak20253511,2018-09-13T21:05:01.725Z,"36km WSW of Anchor Point, Alaska",earthquake,,1.9,,,automatic,ak,ak
2018-09-13T21:00:05.378Z,38.7155,-119.2343,5.3,0.6,ml,4,118.39,0.265,0.0811,nn,nn00656406,2018-09-13T23:08:18.593Z,"12km SE of Smith Valley, Nevada",earthquake,,13,0.33,2,reviewed,nn,nn
2018-09-13T20:52:45.219Z,68.8417,-147.5099,0,1.3,ml,,,,0.82,ak,ak20253509,2018-09-13T20:56:48.909Z,"113km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T20:52:14.380Z,38.719,-119.2327,8.2,1.2,ml,17,87.69,0.266,0.1606,nn,nn00656385,2018-09-13T23:05:13.318Z,"12km SE of Smith Valley, Nevada",earthquake,,1.2,0.17,8,reviewed,nn,nn
